count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,4.95966,2.27281,-2.00E+10,-15954.9,16954,16753
69,18,-1.65918,2.73E+22,-0.690207,1.16E+23,0.586563,0.6,787,-0.232345,-540824,-0.0692831,-7.96E+23,0.600372,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
70,17,-1.64726,2.73E+22,-0.51059,9.20E+22,0.587021,0.6,761,-0.229366,-2.01E+06,-0.0169858,-1.32E+24,0.600754,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
71,15,-1.65322,2.63E+22,-0.138401,5.88E+22,0.586868,0.6,736,-0.232345,-7.63E+06,0.0292112,-1.18E+24,0.600906,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
72,10,-1.66514,2.34E+22,-0.0276627,-4.78E+21,0.587173,0.6,710,-0.232345,6.82E+06,0.0203442,-8.00E+23,0.600983,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
73,5,-1.66216,1.93E+22,-0.154946,-1.03E+23,0.587708,0.6,682,-0.238302,2.55E+06,-0.0489331,-4.30E+23,0.601059,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
74,4,-1.66514,1.83E+22,-0.225813,-1.97E+23,0.587708,0.6,652,-0.232345,1.63E+06,-0.104475,-1.61E+23,0.600906,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
75,7,-1.66216,2.13E+22,-0.19407,-2.03E+23,0.587784,0.6,623,-0.238302,1.24E+06,-0.0993473,-6.24E+21,0.601212,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
76,9,-1.67109,2.37E+22,-0.168639,-1.01E+23,0.58847,0.6,599,-0.235323,1.06E+06,-0.0905474,5.92E+22,0.600983,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
77,15,-1.66514,2.75E+22,-0.172725,4.58E+22,0.588165,0.6,573,-0.235323,917886,-0.0624943,7.02E+22,0.60144,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
78,25,-1.67407,3.09E+22,-0.16775,1.84E+23,0.588089,0.6,543,-0.235323,813384,-0.0140122,5.58E+22,0.601288,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
79,27,-1.67407,3.17E+22,-0.200408,2.69E+23,0.58847,0.6,510,-0.232345,727593,0.0298034,3.48E+22,0.601593,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
80,26,-1.67109,3.14E+22,-0.199819,2.63E+23,0.588394,0.6,477,-0.235323,667354,0.0598567,1.68E+22,0.601746,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
