count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,5.13243,2.3294,4.18E+11,-16548.8,17229,16319
61,-7,-1.80514,-1.40E+22,-0.170077,-1.25E+24,0.585114,0.6,730,-0.336602,-2.30E+07,-0.0406325,1.64E+22,0.59938,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
62,-10,-1.79322,8.11E+23,-0.172568,-2.51E+25,0.584427,0.6,737,-0.336602,-8.24E+06,0.00925106,9.64E+21,0.59938,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
63,-13,-1.81705,-8.85E+22,-0.166602,-2.33E+25,0.585419,0.6,743,-0.336602,-5.00E+06,0.027347,4.26E+21,0.599762,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
64,-15,-1.82003,-1.00E+23,-0.378154,-2.28E+25,0.585953,0.6,745,-0.333623,-4.43E+06,0.0475057,8.85E+20,0.599762,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
65,-16,-1.82003,-1.11E+23,-0.563005,-2.27E+25,0.585266,0.6,740,-0.336602,-5.97E+06,0.063264,-7.46E+20,0.600067,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
66,-20,-1.83493,-2.11E+23,-0.607753,-1.74E+25,0.586029,0.6,729,-0.333623,-2.22E+07,0.0530622,-1.22E+21,0.600525,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
67,-22,-1.85578,-3.18E+23,-0.802364,-1.27E+25,0.586945,0.6,712,-0.336602,7.58E+06,0.0348313,-1.08E+21,0.600143,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
68,-19,-1.83791,-1.75E+23,-0.925371,-8.45E+24,0.586105,0.6,693,-0.330644,3.32E+06,0.0381669,-7.36E+20,0.600067,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
69,-13,-1.84982,-9.30E+22,-0.705592,-2.67E+24,0.586563,0.6,673,-0.330644,2.17E+06,0.08946,-3.94E+20,0.600525,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
70,-12,-1.84982,-1.17E+23,-0.464315,2.35E+24,0.587555,0.6,644,-0.333623,1.50E+06,0.106583,-1.46E+20,0.600601,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
71,-22,-1.83791,-3.17E+23,-0.239471,2.68E+24,0.587097,0.6,607,-0.333623,1.12E+06,0.0449175,-4.75E+18,0.600601,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
72,-35,-1.83791,3.55E+23,0.0779409,3.76E+24,0.58725,0.6,573,-0.339581,927546,-0.0526319,5.50E+19,0.60083,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
73,-44,-1.8528,2.28E+23,0.167873,1.00E+25,0.587936,0.6,544,-0.339581,820111,-0.158673,6.49E+19,0.601059,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
74,-45,-1.84386,2.15E+23,0.0195848,1.26E+25,0.587402,0.6,518,-0.336602,747401,-0.179621,5.14E+19,0.60144,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
75,-41,-1.85578,2.54E+23,-0.106833,9.51E+24,0.58786,0.6,495,-0.339581,696543,-0.119768,3.20E+19,0.601822,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
76,-38,-1.85578,3.07E+23,-0.229919,6.45E+24,0.588394,0.6,477,-0.342559,661851,-0.10266,1.53E+19,0.60228,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
77,-39,-1.8528,2.77E+23,-0.278571,4.22E+24,0.587708,0.6,464,-0.339581,648660,-0.107848,4.33E+18,0.601822,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
78,-39,-1.85876,2.88E+23,-0.223471,2.18E+24,0.588318,0.6,456,-0.336602,628450,-0.0409386,-1.38E+18,0.602737,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
79,-39,-1.86174,2.95E+23,-0.220357,7.48E+23,0.588699,0.6,457,-0.339581,633678,0.0376323,-3.37E+18,0.602356,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
80,-38,-1.85876,3.09E+23,-0.219579,2.19E+23,0.58847,0.6,464,-0.339581,645191,0.0398416,-3.28E+18,0.602127,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
81,-30,-1.87365,1.06E+24,-0.239975,5.24E+24,0.588776,0.6,473,-0.339581,653493,0.00998218,-2.36E+18,0.602509,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
82,-20,-1.87663,-2.03E+23,-0.383576,7.63E+24,0.589081,0.6,477,-0.345538,659367,-0.0450001,-1.34E+18,0.602509,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
