count,ms_speed_left_model
673,53.8899
674,56.2291
675,56.6007
676,20.155
677,6.427
678,-17.6967
679,-2.02323
680,31.0981
681,114.826
682,109.644
683,-25.8975
684,-158.171
685,-45.4297
686,125.294
687,106.77
688,14.5253
689,-62.8901
690,-54.2576
691,21.6139
692,99.4406
693,47.9813
694,-51.0945
695,-117.762
696,-58.8536
697,50.9414
698,44.9887
699,-44.5247
700,-51.9249
701,-17.1027
702,-12.7205
703,-0.506202
704,-16.4157
705,-41.9696
706,-34.7182
707,8.85172
708,8.81197
709,-1.00965
710,-8.81508
711,-35.762
712,-2.51663
713,62.5405
714,52.9877
715,27.2298
716,6.80259
717,-43.5006
718,-60.4481
719,-43.5383
720,-36.4813
721,0.502554
722,72.7121
723,118.706
724,72.659
725,-72.6867
726,-147.362
727,-9.02086
728,105.895
729,73.9238
730,-8.68355
731,-15.4647
732,-8.28044
733,25.765
734,64.4256
735,6.8995
736,-105.515
737,-155.052
738,-46.8072
739,118.437
740,118.935
741,39.0363
742,-39.078
743,-26.2694
744,49.203
745,87.5029
746,23.5332
747,-45.8039
748,-104.003
749,-76.0071
750,-35.8821
751,-43.5078
752,-37.5198
753,11.2014
754,42.7634
755,63.2857
756,83.9541
757,56.1294
758,-39.2766
759,-67.8405
760,-7.46534
761,33.6869
762,25.8723
763,7.6767
764,-25.3484
765,-41.3611
766,-8.04642
767,32.7808
768,57.22
769,47.702
770,31.4195
771,31.4735
772,-39.2642
773,-114.552
774,-50.5079
775,75.8456
776,89.141
777,37.6675
778,1.01756
779,-8.2033
780,-47.249
781,-80.1905
782,-73.6349
783,-2.52938
784,59.6265
785,-0.506948
786,-201.576
787,36.8431
788,116.382
789,65.5758
790,48.6314
791,55.9989
792,-23.5599
793,-139.232
794,-123.275
795,-18.8543
796,0.50226
797,-19.0215
798,81.8744
799,150.545
800,159.714
801,95.1295
802,0
803,-96.6678
804,-76.7701
805,-6.31873
806,-6.83526
807,-73.4249
808,-92.1803
809,-35.4749
810,44.405
811,91.0617
812,88.1366
813,38.1027
814,-0.509046
815,-62.6292
816,-80.0714
817,-7.21869
818,54.5017
819,39.1963
820,15.0833
821,-31.518
822,-89.7037
823,-74.8174
824,16.2455
825,51.2718
826,41.2169
827,1.01276
828,-83.5366
829,-104.074
830,-18.7653
831,80.1063
832,86.4912
833,41.6984
834,-33.0085
835,-64.2216
836,1.51787
837,94.8874
838,99.7425
839,69.5082
840,5.08728
841,-112.759
842,-146.334
843,-60.3268
844,-23.2096
845,-25.659
846,19.4905
847,64.1688
848,33.2366
849,-25.7313
