Count,OriginalData,ExponentialMovingAverage
689,103.473000,7.746929
690,99.309196,2.621508
691,57.085701,-11.187153
692,-37.609200,-16.765982
693,-57.303799,-6.718989
694,37.450500,0.035072
695,27.232800,0.770250
696,-146.093002,1.119596
697,-197.464996,-0.623098
698,-24.304501,-5.736880
699,69.669701,-10.758067
700,0.486366,-12.943349
701,-35.615002,-7.861083
702,2.421430,-8.959156
703,-14.651000,-7.408575
704,14.175800,-46.393055
705,34.633999,-17.398542
706,53.938099,15.509139
707,33.440601,16.614305
708,0.491673,-9.493116
709,-20.615299,-23.158482
710,-12.875200,-4.325546
711,-0.490703,11.621651
712,-43.518101,-1.671499
713,-13.303900,-3.219771
714,68.203102,17.749634
715,106.348000,22.146820
716,87.632103,15.433553
717,101.286003,12.442889
718,112.507004,6.075710
719,42.051201,-9.990026
720,-67.608498,-6.100630
721,-114.579002,12.089514
722,-26.089800,13.294280
723,6.215330,3.703528
724,-66.981499,-1.204876
725,-95.731300,-12.165430
