Count,OriginalData,ExponentialMovingAverage
318,-76.842499,-5.971630
319,-71.639099,-3.790695
320,-8.806060,-1.839654
321,-1.485360,-2.587404
322,140.798996,-4.390970
323,-20.501600,-7.979445
324,-27.922501,-10.821190
325,19.375099,-10.542682
326,57.665901,-8.806771
327,16.957001,0.565742
328,-36.915401,6.559014
329,-67.884102,4.580722
330,-50.096500,10.075290
331,39.597401,20.931324
332,78.545303,18.136496
333,18.676500,4.981432
334,-37.476601,-9.573924
335,-48.193100,-21.750357
336,-20.742399,-18.641174
337,11.379500,-7.771636
338,-1.991350,-3.968004
339,-91.331497,-8.212323
340,-121.267998,-3.156192
341,-81.953400,-0.705096
342,-25.046301,-8.749395
343,-51.599701,-13.269895
344,-106.147003,2.985141
345,-29.384199,10.162963
346,110.488998,-9.091323
347,64.247200,-26.506533
348,37.444401,-17.283165
349,59.515701,-5.261553
350,88.888000,-8.437340
351,125.469002,-10.036827
352,114.853996,-0.375929
353,-19.199499,-0.706329
354,-66.614899,0.798377
355,30.088100,10.564342
356,74.075104,13.103708
357,-37.493698,11.322743
358,-136.716995,5.704472
359,-42.016102,-10.254886
360,73.029503,-21.204861
361,39.137501,-12.227280
362,-19.171400,7.666354
363,-10.945800,16.246708
364,20.292801,13.353403
365,-19.338400,3.669459
366,-30.687500,-6.359812
367,78.891296,-8.714889
368,122.746002,-0.757715
369,-56.357601,6.285695
370,-197.882004,4.901133
371,-157.580002,-9.626316
372,-122.330002,-17.304440
373,-171.084000,-10.975115
374,46.255798,-1.914755
375,260.971985,-5.628053
376,164.380005,-14.614321
377,42.001499,-18.850187
378,19.085100,-12.468948
379,0.494553,-4.798559
380,29.186199,-1.352921
381,39.196400,2.405641
382,-38.667099,-0.402550
383,-101.119003,-4.714167
384,-53.916100,-3.150040
385,23.051201,12.413410
386,-114.635002,5.896733
387,-70.235497,-20.667072
388,71.492104,-34.515362
389,100.153999,-11.751617
390,22.875200,22.821936
391,9.601670,23.832752
392,30.202400,15.079864
393,31.242500,9.314478
394,21.569599,3.305515
395,-0.498064,-4.543365
396,0.995117,-11.327847
397,-11.998500,-14.495288
398,-9.562350,-16.306782
399,-8.647960,-5.201143
400,-22.535500,14.909362
401,-19.823999,24.384033
402,40.356602,13.658358
403,125.521004,-2.784352
404,66.954201,-6.529682
405,-53.627800,1.569787
406,-117.749001,6.087786
407,-103.950996,4.931781
408,-44.106499,3.971079
409,32.579498,5.384629
410,53.785999,8.465083
411,19.338900,5.093843
412,-8.870680,-4.497187
413,60.173000,-8.179678
414,151.033005,-0.107399
415,61.931599,3.329571
416,-79.154900,-3.310996
417,-125.157997,-9.822854
418,-90.337402,-10.713041
419,-64.191803,-3.269070
420,-44.887100,-3.102507
421,-34.684200,15.526918
422,56.887199,-5.482268
423,168.985992,-3.031691
424,97.672096,5.363050
425,0.502016,10.448540
426,53.431801,5.790712
427,115.015999,0.663238
428,50.220901,-2.546304
429,-67.385101,-1.423105
430,-124.999001,8.267788
431,-115.252998,11.092505
432,-91.981499,0.949613
433,-74.693497,-8.147260
434,64.727501,-8.154421
435,170.994995,-0.892104
436,82.681396,5.109751
437,-47.340099,2.261714
438,-26.526300,-10.398413
439,-9.454850,-14.430919
440,-68.470200,-10.180714
441,-31.527800,-2.902401
442,107.317001,-4.313212
443,154.878006,-8.542592
444,66.146004,3.324413
445,-14.119400,21.907505
446,-62.931900,13.969792
447,-77.983200,8.521814
448,-103.317001,9.294015
449,-100.837997,11.088018
450,-30.320801,15.218413
451,51.802101,14.506356
452,108.071999,-1.781815
453,37.036598,-7.429687
454,-28.568800,5.238174
455,-9.467640,10.899568
456,19.866899,-4.021049
457,63.967300,-16.102268
458,46.525600,-2.046590
459,6.760370,13.696493
460,-25.971100,8.324519
461,-83.980400,-1.394024
462,-75.924698,-1.756738
463,0.998278,2.525218
464,47.184299,-1.953584
465,-47.270599,-4.386783
466,-89.801102,8.750730
467,-0.989864,14.492548
468,89.054703,-8.268397
469,20.443300,-26.851810
470,-88.563698,-22.619919
471,-85.823799,-19.101227
472,54.318699,-24.245068
473,112.418999,7.872936
474,53.889900,37.840900
475,56.229099,25.133587
476,56.600700,9.195680
477,20.155001,6.311505
478,6.427000,3.798003
479,-17.696699,7.255098
480,-2.023230,8.426011
481,31.098101,-1.662011
482,114.825996,-7.806705
483,109.643997,0.906846
484,-25.897499,10.791765
485,-158.171005,-11.186595
486,-45.429699,-5.856255
487,125.293999,15.920252
488,106.769997,21.597956
489,14.525300,11.000055
490,-62.890099,7.740627
491,-54.257599,9.300760
492,21.613899,9.685337
493,99.440598,10.153672
494,47.981300,7.916399
495,-51.094501,6.949933
496,-117.762001,2.722012
497,-58.853600,1.832368
498,50.941399,2.928565
499,44.988701,1.882091
500,-44.524700,1.330081
501,-51.924900,8.419540
502,-17.102699,19.439135
503,-12.720500,10.876684
504,-0.506202,-5.666636
505,-16.415701,-14.556767
506,-41.969601,-13.232362
507,-34.718201,-5.559293
508,8.851720,5.103702
509,8.811970,8.046925
510,-1.009650,3.205994
511,-8.815080,-0.849545
512,-35.762001,7.802544
513,-2.516630,19.893942
514,62.540501,8.680672
515,52.987701,-9.534667
516,27.229799,-15.032083
517,6.802590,-9.887576
518,-43.500599,-7.014993
519,-60.448101,-5.460644
520,-43.538300,-4.833935
521,-36.481300,6.931400
522,0.502554,21.974007
523,72.712097,13.328079
524,118.706001,2.265106
525,72.658997,10.821837
526,-72.686699,17.502159
527,-147.362000,5.469045
528,-9.020860,-10.733068
529,105.894997,-16.220274
530,73.923798,-13.116348
531,-8.683550,-9.879327
532,-15.464700,-7.650407
533,-8.280440,11.204439
534,25.764999,25.873562
535,64.425598,14.685808
536,6.899500,-3.063704
537,-105.514999,-2.275786
538,-155.052002,-2.990841
539,-46.807201,-11.844821
540,118.436996,-4.265704
541,118.934998,16.963259
542,39.036301,23.836607
543,-39.077999,10.583001
544,-26.269400,-1.008768
545,49.202999,-6.620090
546,87.502899,-6.793102
547,23.533199,-9.620909
548,-45.803902,-10.001934
549,-104.002998,-2.320508
550,-76.007103,7.333737
551,-35.882099,14.092761
552,-43.507801,3.339213
553,-37.519798,-6.348013
554,11.201400,-3.415610
555,42.763401,1.468561
556,63.285702,8.660603
