Count,OriginalData,MovingAverage
538,-155.052,-3.84743
539,-46.8072,-0.00952774
540,118.437,3.25426
541,118.935,2.19703
542,39.0363,0.790959
543,-39.078,1.13021
544,-26.2694,1.44057
545,49.203,-0.818678
546,87.5029,-4.26824
547,23.5332,-6.39538
548,-45.8039,-6.856
549,-104.003,-6.32035
550,-76.0071,-2.60281
551,-35.8821,1.92824
552,-43.5078,5.84016
553,-37.5198,8.61291
554,11.2014,9.3633
555,42.7634,7.20592
556,63.2857,4.81525
557,83.9541,3.42316
558,56.1294,1.60737
559,-39.2766,-0.983716
560,-67.8405,-2.04179
561,-7.46534,-1.39448
562,33.6869,-0.357071
563,25.8723,0.790425
564,7.6767,2.03571
565,-25.3484,2.64423
566,-41.3611,3.14102
567,-8.04642,2.71566
568,32.7808,1.27516
569,57.22,0.475166
570,47.702,0.420801
571,31.4195,0.250686
572,31.4735,-0.0760373
573,-39.2642,-1.33587
574,-114.552,-2.34466
575,-50.5079,-1.54997
576,75.8456,-0.214897
577,89.141,-0.706372
578,37.6675,-1.66485
579,1.01756,-2.39795
580,-8.2033,-4.08903
581,-47.249,-6.00645
582,-80.1905,-5.43677
583,-73.6349,-2.23084
584,-2.52938,0.971685
585,59.6265,1.85624
586,-0.506948,0.00354103
587,-201.576,-1.27075
588,36.8431,2.79113
589,116.382,3.95201
590,65.5758,3.61922
591,48.6314,3.69787
592,55.9989,2.82699
593,-23.5599,-0.548171
594,-139.232,-3.00365
595,-123.275,-1.42555
596,-18.8543,0.575758
597,0.50226,0.439665
598,-19.0215,0.819429
599,81.8744,2.48324
600,150.545,1.51048
601,159.714,-2.01505
602,95.1295,-6.11216
603,0,-8.0349
604,-96.6678,-8.27698
605,-76.7701,-6.32349
606,-6.31873,-10.6558
607,-6.83526,-12.5808
608,-73.4249,-10.0447
609,-92.1803,-6.11725
610,-35.4749,-5.5805
611,44.405,-8.1334
612,91.0617,-9.55962
613,88.1366,-9.58387
614,38.1027,-11.195
615,-0.509046,-11.9669
616,-62.6292,-9.28082
617,-80.0714,-5.21598
618,-7.21869,-2.17426
619,54.5017,-1.52935
620,39.1963,-3.64012
621,15.0833,-8.02816
622,-31.518,-11.025
623,-89.7037,-9.77212
624,-74.8174,-6.9561
625,16.2455,-5.81448
626,51.2718,-6.80993
627,41.2169,-9.57814
628,1.01276,-11.7925
629,-83.5366,-10.8854
630,-104.074,-7.00826
631,-18.7653,-3.88287
632,80.1063,-4.56062
633,86.4912,-8.6
634,41.6984,-10.5729
635,-33.0085,-9.36102
636,-64.2216,-7.8732
637,1.51787,-7.43464
638,94.8874,-8.34439
639,99.7425,-9.34712
640,69.5082,-9.27252
641,5.08728,-8.67649
642,-112.759,-7.63653
643,-146.334,-6.13353
644,-60.3268,-4.35293
645,-23.2096,-2.39738
646,-25.659,-1.38853
647,19.4905,-3.79721
648,64.1688,-8.13632
649,33.2366,-9.90579
650,-25.7313,-9.17713
651,-45.1419,-8.65277
652,-1.00749,-8.46223
653,-12.1037,-8.39366
654,1.00643,-8.4446
655,-293.385,-8.18121
656,-102.571,-1.62084
657,119.974,1.50935
658,122.945,-0.221322
659,-65.3426,-2.67039
660,-163.12,-1.77584
661,-26.9058,1.22905
662,89.8489,1.75736
663,7.58078,-0.909984
664,-0.490951,-1.32768
665,133.793,0.0462035
666,140.613,-0.502696
667,72.0145,-1.56231
668,25.0266,-0.976884
669,-51.0364,0.772724
670,-180.206,2.63448
671,-134.759,4.88643
672,31.1267,5.29003
673,51.0972,4.1457
674,-17.7365,3.24806
675,-33.527,2.26316
676,-87.1388,1.01907
677,-69.4996,3.55634
678,46.3684,6.87104
679,110.318,6.31444
680,52.1958,2.16768
681,-52.6527,-1.34718
682,-121.863,-1.58853
683,-12.1543,1.95357
684,102.293,3.24465
685,41.3826,0.800425
686,-42.2937,-0.696877
687,-43.9695,1.41447
688,44.7506,5.07214
689,103.473,6.21948
690,99.3092,3.96174
691,57.0857,0.693588
692,-37.6092,-1.59122
693,-57.3038,-0.667567
694,37.4505,1.09668
695,27.2328,-0.259282
696,-146.093,-1.96143
697,-197.465,1.56908
698,-24.3045,7.93086
699,69.6697,9.82125
700,0.486366,7.18405
701,-35.615,5.71489
702,2.42143,6.22897
703,-14.651,6.01124
704,14.1758,5.15493
705,34.634,4.87142
706,53.9381,4.9745
707,33.4406,3.48929
708,0.491673,1.47645
709,-20.6153,1.41713
710,-12.8752,3.21108
711,-0.490703,4.64613
712,-43.5181,5.16398
713,-13.3039,6.40141
714,68.2031,5.39464
715,106.348,1.21086
716,87.6321,-2.35464
717,101.286,-1.8066
718,112.507,-0.207097
719,42.0512,-0.509951
720,-67.6085,-1.2311
721,-114.579,-0.719213
722,-26.0898,-0.22333
723,6.21533,-2.77957
724,-66.9815,-5.01842
725,-95.7313,-3.22878
726,39.7248,-1.11078
727,96.2351,-2.99731
728,18.5382,-5.33298
729,-97.0198,-3.50086
730,-123.547,0.00271713
731,-64.7202,3.38218
732,55.2419,5.81704
733,52.3999,4.87931
734,-19.9185,3.74054
735,-33.4825,6.18845
736,63.2735,8.53388
737,138.914,7.8149
738,102.118,5.95329
739,-9.41405,5.07233
740,-64.0986,6.23672
741,-57.1547,8.55622
742,8.5735,10.847
743,30.9084,11.7327
744,-30.3475,11.0433
745,-57.8744,11.1072
746,30.4325,11.0898
747,120.624,9.79889
748,70.2148,5.98257
749,-62.1901,3.02602
750,-72.9715,3.76577
751,-9.9113,6.40202
752,-8.46505,9.03562
753,-57.4663,10.8114
754,0,12.1137
755,39.788,10.9682
756,-20.3224,8.76217
757,-67.2013,7.96215
758,-2.47444,8.03813
759,69.0824,7.65225
760,58.877,6.89774
761,25.4022,5.5392
762,18.3532,3.69785
763,-63.6424,3.16425
764,-140.986,6.24779
765,-71.9267,9.03703
766,115.034,7.95815
767,181.261,4.01437
768,97.3643,0.950638
769,5.99349,-0.841482
770,-42.0139,-1.14676
771,-89.7848,0.714072
772,-153.902,3.98388
773,-105.727,8.03193
774,22.5003,10.1465
775,10.169,8.88924
776,-54.6019,8.29841
777,-20.5482,10.3784
778,110.144,12.5436
779,78.1592,11.8351
780,45.4262,10.2313
781,57.0227,7.48597
782,8.35532,3.9131
783,-4.5385,2.76629
784,102.477,2.95507
785,83.7887,0.448018
786,27.3247,-1.98904
787,45.8338,-2.30131
788,58.07,-2.70241
789,48.8054,-3.73408
790,51.8762,-5.19108
791,57.3844,-6.19823
792,52.8609,-5.8105
793,-3.56445,-4.75162
794,-27.1539,-4.01843
795,-58.742,-4.39985
796,-34.1136,-4.48869
797,-70.1918,-3.77597
798,-77.6129,-2.70976
799,-25.2025,-3.14284
800,58.8408,-4.62162
801,121.769,-5.04883
802,80.3246,-4.86383
803,7.64679,-5.47865
804,-57.2719,-8.31028
805,-70.5154,-11.4801
806,-60.3236,-11.3294
807,-63.4021,-7.29586
808,-21.7687,-3.13706
809,31.357,-1.5202
810,-9.04988,-3.01361
811,-66.6654,-4.04697
812,-8.32654,-3.25643
813,90.5345,-2.58744
814,-1.5241,-3.15323
815,-125.871,-2.09966
816,-82.1549,1.24283
817,28.0746,4.31818
818,7.75825,4.69743
819,-9.27047,3.78265
820,51.0278,2.52197
821,73.7055,1.63455
822,48.5007,1.14788
823,0,-0.0324485
824,-40.3616,-0.50412
825,-19.3723,0.161121
826,49.3988,0.202189
827,87.7131,-1.59477
828,74.7174,-2.73523
829,-2.034,-1.38596
830,-91.8378,0.731999
831,-121.621,3.01073
832,-48.9848,5.45337
833,4.90025,6.10395
834,-22.8756,5.14868
835,-38.0641,4.26459
836,11.711,3.47857
837,25.7789,1.78384
838,6.4867,0.621098
839,-24.0449,1.148
840,1.51866,2.78886
841,76.7711,3.54151
842,105.805,2.33951
843,33.095,0.348383
844,-46.225,-0.741946
845,-63.184,-1.13579
846,1.52212,-0.859204
847,-16.8811,-0.692585
848,-99.2667,-0.561777
849,-99.1417,0.0760979
850,37.4803,0.301735
851,131.019,-0.834883
852,49.5838,-1.97174
853,-133.935,-2.12052
854,-215.765,0.385344
855,-62.98,5.75131
856,141.355,9.72889
857,144.538,8.92701
858,59.0746,6.01591
859,-43.3135,3.482
860,-60.7183,2.7427
861,-27.1383,2.82652
862,25.1229,3.34901
863,62.245,5.53617
864,51.1545,5.17514
865,41.2537,3.20618
866,71.6124,0.0287105
867,47.0372,-2.44118
868,-37.9808,-3.03745
869,-72.3046,-2.14154
870,6.65724,-1.13403
871,49.3719,-1.09854
872,-10.5159,-1.09418
873,-23.5836,0.556505
874,-7.09949,2.41814
875,-17.3189,3.48108
876,-40.449,3.21934
877,30.6898,2.67993
878,142.181,1.23779
879,103.864,-1.74458
880,22.0987,-4.30138
881,0.510959,-5.72582
882,-16.4556,-5.86212
883,-42.8633,-4.57643
884,-67.0802,-2.42041
885,-77.3648,-1.2566
886,-73.0256,-1.4334
887,-32.3583,-0.839572
888,32.8316,2.11555
889,57.9981,3.77194
890,39.1512,1.87514
891,16.6713,-1.44163
892,6.24847,-2.60035
893,-21.4214,-2.54908
894,-65.9174,-2.41426
895,-49.3545,-1.58234
896,9.85307,-0.735196
897,-10.3407,-0.236384
898,-67.3729,1.50324
899,-87.8599,4.13784
900,-19.3506,6.38038
901,74.176,6.38705
902,42.1452,4.28698
903,-8.64204,2.75687
904,52.5333,1.94498
905,135.899,0.749606
906,101.261,-1.2517
907,-1.01717,-2.56373
908,-67.6206,-2.75508
909,-80.2784,-1.48182
910,-56.5274,0.00245419
911,-1.01393,0.991128
912,134.481,0.899283
913,44.1935,-1.81063
914,-47.2934,-3.42899
915,-117.62,-4.04873
916,-51.8821,-2.70711
917,17.2236,-1.86004
918,6.81458,-2.55787
919,-21.9288,-3.16568
920,8.43168,-2.19429
921,49.5896,-0.419403
922,72.0186,-0.0772568
923,69.4981,-2.37931
924,46.0477,-6.43084
925,-30.406,-9.60507
926,-67.4196,-9.86575
927,-41.4171,-8.50741
928,-6.93779,-6.29303
929,-23.9756,-4.71714
930,-49.1237,-4.43307
931,-6.30395,-5.38256
932,47.8292,-6.6965
933,64.9375,-7.25175
934,-8.8896,-9.18856
935,-86.205,-12.8045
936,-43.334,-15.8729
937,115.398,-16.2214
938,115.651,-15.6399
939,-36.8423,-14.7053
940,-126.687,-12.3432
941,-41.2647,-9.83879
942,8.81175,-7.95082
943,-14.6805,-4.14919
944,-24.321,-0.107662
945,-6.99739,0.663385
946,34.7937,-1.23021
947,76.6404,-3.37755
948,64.357,-4.36402
949,24.2674,-4.79303
950,-19.0171,-4.5891
951,-30.8274,-4.55745
952,-34.3607,-6.65982
953,-49.2364,-9.99626
954,-7.23538,-10.8656
955,35.8335,-8.68048
956,35.6597,-7.17969
957,-10.5847,-7.26958
958,-3.95762,-7.44192
959,-6.06465,-7.35283
960,-7.09366,-6.2778
961,-5.6062,-5.19118
962,-1.01463,-5.05899
963,-36.7243,-5.62299
964,-78.2807,-4.90853
965,-50.5391,-2.76766
966,-9.5284,-1.73681
967,-17.6678,-3.09491
968,-23.576,-4.34696
969,26.6406,-3.68985
970,97.1761,-1.83556
971,66.6969,-0.867679
972,-43.0843,0.490401
973,-133.078,1.97384
974,-112.664,2.50708
975,-43.44,1.77064
976,0.497231,0.765537
977,69.302,-1.11663
978,71.8566,-4.60473
979,-9.77187,-7.42473
980,-96.5981,-5.61594
981,-72.001,0.612779
982,20.0666,6.34838
983,-31.9027,7.42338
984,-189.685,7.4086
985,-239.626,9.17084
986,-60.7611,10.2945
987,144.475,7.99884
988,162.382,4.90861
989,81.2601,2.94185
990,-1.46575,2.36191
991,53.1341,3.57706
992,198.893,2.49442
993,187.396,-0.341844
994,14.2313,-4.06976
995,-101.677,-3.44462
996,-72.5732,0.212513
997,27.317,2.01218
998,42.9064,0.0524034
999,34.4639,-1.89543
1000,-17.4346,-1.86937
1001,-135.946,-0.246714
1002,-201.183,2.30586
1003,-92.7017,6.31943
1004,102.019,8.87354
1005,110.873,5.60008
1006,31.1657,0.755595
1007,-19.2018,-1.0261
1008,0.496942,-0.0709683
1009,47.6865,-0.0908494
1010,47.2372,-1.65452
1011,1.00325,-1.59474
1012,-29.2143,0.13793
1013,-1.0015,1.08121
1014,28.7629,0.162452
1015,1.00334,-2.55745
1016,-77.4336,-4.63251
1017,-80.2699,-3.59016
1018,9.27944,-1.50743
1019,119.355,-1.27261
1020,145.57,-2.84678
1021,134.601,-4.30872
1022,31.0874,-5.48154
1023,-106.416,-5.32281
1024,-149.486,-3.77977
1025,-93.6949,-1.16943
1026,-93.6114,1.66683
1027,-105.103,3.89689
1028,-69.1433,3.92805
1029,80.6676,2.4519
1030,214.838,-0.260918
1031,214.779,-2.82347
1032,73.8166,-5.88977
1033,-32.6419,-7.55765
1034,-101.573,-7.35067
1035,-183.445,-5.90143
1036,-175.542,-3.72155
1037,-10.0366,-2.01503
1038,64.0442,-1.83362
1039,52.2634,-0.464103
1040,59.2917,1.37131
1041,-0.997859,-0.215934
1042,57.0796,-2.86126
1043,1.00035,-4.9076
1044,45.4881,-3.22282
1045,81.1797,-2.2674
1046,17.4103,-2.72122
1047,-70.672,-3.64419
1048,-54.4851,-3.60328
1049,35.7665,-2.75458
1050,63.6984,-2.63498
1051,-8.31747,-3.72138
1052,-0.50436,-4.54536
1053,35.004,-6.87236
1054,-61.6543,-10.3713
1055,-131.351,-8.16662
1056,-57.9192,-5.52993
1057,28.5549,2.82773
1058,-0.497105,3.35564
1059,-30.4971,3.01725
1060,50.2264,2.51537
1061,87.6366,0.796661
1062,17.9496,-0.795551
1063,-46.9393,-1.35404
1064,-107.232,-0.40521
1065,-102.75,3.48127
1066,-25.3158,7.91902
1067,23.8664,8.11607
1068,21.0204,4.7627
1069,40.6464,2.64114
1070,72.4734,3.33586
1071,75.9597,4.23651
1072,39.0241,3.90581
1073,-29.264,2.62632
1074,-18.9691,1.85968
1075,48.1182,0.548514
