count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,4.88817,2.27281,2.83E+10,-17304.9,17176,16460
83,31,-1.6145,1.70E+22,-0.116721,1.57E+23,0.56955,0.6,78,-0.238302,3.45E+06,-0.0531251,1.57E+42,0.576569,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
84,22,-1.6145,1.62E+22,-0.297797,1.20E+23,0.569626,0.6,65,-0.238302,-298848,-0.000820341,2.27E+42,0.576492,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
85,18,-1.62641,1.55E+22,-0.432624,5.76E+22,0.569778,0.6,46,-0.238302,-1.55E+08,0.0410596,1.95E+42,0.576645,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
86,23,-1.61748,1.65E+22,-0.472162,8.26E+21,0.569931,0.6,30,-0.24426,2.18E+06,0.00736946,1.29E+42,0.576721,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
87,29,-1.62641,1.71E+22,-0.381672,-1.01E+21,0.570007,0.6,24,-0.24426,-3.27E+06,-0.0883258,6.69E+41,0.576874,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
88,33,-1.62343,1.75E+22,-0.281613,1.31E+22,0.570312,0.6,28,-0.241281,-336467,-0.123907,2.33E+41,0.577026,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
89,36,-1.62939,1.75E+22,-0.224285,2.43E+22,0.570389,0.6,29,-0.24426,-2.25E+06,-0.0851243,-1.05E+40,0.577179,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
90,41,-1.63237,1.74E+22,-0.219904,2.46E+22,0.570465,0.6,25,-0.24426,-2.53E+06,-0.0660407,-1.08E+41,0.577179,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
91,47,-1.63237,1.71E+22,-0.238691,1.51E+22,0.570618,0.6,20,-0.247239,-623608,-0.0802252,-1.19E+41,0.577103,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
92,48,-1.63535,1.70E+22,-0.222011,1.83E+21,0.570618,0.6,17,-0.241281,-1.13E+06,-0.064423,-9.16E+40,0.577179,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
93,44,-1.64131,1.74E+22,-0.235184,-4.59E+21,0.57077,0.6,15,-0.247239,1.26E+07,-0.0207456,-5.55E+40,0.577484,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
94,43,-1.63237,1.76E+22,-0.217207,-2.50E+20,0.570923,0.6,15,-0.24426,1.26E+07,-0.0173546,-2.56E+40,0.577484,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
95,45,-1.63237,1.75E+22,-0.0711587,6.04E+21,0.571075,0.6,14,-0.24426,1.71E+06,-0.0113128,-6.38E+39,0.577332,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
96,43,-1.62641,1.78E+22,0.108422,9.00E+21,0.571228,0.6,12,-0.247239,985958,-0.00577436,3.29E+39,0.577637,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
97,40,-1.63535,1.79E+22,0.173424,1.15E+22,0.571228,0.6,11,-0.24426,859557,-0.0219872,6.39E+39,0.57756,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
98,40,-1.64131,1.80E+22,0.03376,1.37E+22,0.571381,0.6,10,-0.247239,902862,-0.0226972,5.94E+39,0.577637,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
99,41,-1.64131,1.80E+22,-0.172595,1.31E+22,0.571457,0.6,10,-0.247239,971295,-0.0366887,4.16E+39,0.577789,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
100,40,-1.63535,1.81E+22,-0.211014,1.03E+22,0.571457,0.6,8,-0.24426,1.43E+06,-0.0324672,2.30E+39,0.577789,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
101,38,-1.62641,1.82E+22,-0.0298517,8.06E+21,0.571609,0.6,6,-0.24426,5.56E+06,0.0180435,9.11E+38,0.577713,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
102,37,-1.62939,1.84E+22,0.193159,8.53E+21,0.571838,0.6,3,-0.247239,-2.13E+06,0.0340544,9.21E+37,0.577942,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
103,37,-1.62939,1.83E+22,0.253219,9.08E+21,0.571686,0.6,1,-0.247239,-955407,-0.00847576,-2.71E+38,0.577866,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
104,40,-1.62939,1.83E+22,0.189712,7.03E+21,0.571915,0.6,4,-0.247239,-2.97E+06,-0.0437206,-3.47E+38,0.578171,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
105,49,-1.63535,1.78E+22,0.0722854,4.53E+20,0.571991,0.6,10,-0.24426,1.42E+06,-0.0264616,-2.85E+38,0.578476,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
106,60,-1.63833,1.65E+22,-0.0957537,-1.81E+22,0.572067,0.6,10,-0.247239,1.35E+06,0.00781061,-1.83E+38,0.5784,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
107,60,-1.63237,1.66E+22,-0.179374,-4.10E+22,0.572144,0.6,5,-0.24426,-5.12E+06,0.019813,-9.11E+37,0.5784,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
108,53,-1.62939,1.75E+22,-0.0855773,-4.09E+22,0.57222,0.6,7,-0.247239,5.79E+06,0.019364,-2.87E+37,0.578552,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
109,38,-1.62641,1.85E+22,0.0762044,-1.02E+22,0.572144,0.6,13,-0.247239,2.21E+06,-0.00607622,4.84E+36,0.5784,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
110,27,-1.63833,1.83E+22,0.102452,2.41E+22,0.57222,0.6,14,-0.247239,7.03E+06,-0.0349441,1.74E+37,0.5784,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
111,20,-1.64429,1.74E+22,-0.094274,2.93E+22,0.572372,0.6,7,-0.247239,5.06E+06,-0.0374322,1.78E+37,0.578476,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
