count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,natural_length_right_model,deformation_right_model,natural_length_left_model,deformation_left_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,4.79583,3.06516,170.209,178.606,33030,17270,75.3003
92,-258,-1.43875,149.406,-0.0390667,-1.82635,0.400711,0.4,-17,-0.256175,150.215,0.0594743,-2.59236,150.282,-0.0668866,146.017,3.38896,0.401398,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
93,-259,-1.43875,149.413,-0.0437902,-1.31894,0.400787,0.4,-13,-0.259154,150.193,-0.00288362,-2.15254,150.244,-0.0511394,146.013,3.40016,0.401932,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
94,-262,-1.43577,149.442,0.00613614,-0.509946,0.400864,0.4,-2,-0.259154,150.258,-0.0679099,-1.07513,150.266,-0.00786414,146.008,3.43437,0.401627,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
95,-266,-1.44471,149.488,0.00502586,0.713431,0.400864,0.4,6,-0.259154,150.305,-0.0964606,0.703145,150.282,0.023587,146.008,3.4803,0.401398,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
96,-268,-1.44173,149.521,-0.0769646,2.0633,0.400711,0.4,5,-0.256175,150.285,-0.0621955,2.18761,150.266,0.0196564,146.017,3.50389,0.401627,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
97,-267,-1.43577,149.505,-0.0700644,2.70316,0.400787,0.4,4,-0.256175,150.292,0.00877854,2.30644,150.276,0.0157259,146.013,3.4921,0.401474,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
98,-264,-1.44173,149.47,0.0117367,2.00661,0.400787,0.4,9,-0.256175,150.317,0.0557318,1.85815,150.282,0.0353764,146.013,3.4577,0.401398,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
99,-262,-1.43875,149.447,0.0222738,0.450316,0.400787,0.4,15,-0.259154,150.335,0.040059,1.67617,150.276,0.0589468,146.013,3.43471,0.401474,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
100,-264,-1.43577,149.475,0.0406304,-0.666176,0.400711,0.4,15,-0.262132,150.346,-0.037298,1.63387,150.287,0.0589473,146.017,3.45803,0.401321,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
101,-269,-1.44173,149.542,0.0573067,-0.274799,0.400558,0.4,15,-0.259154,150.335,-0.0992501,1.37017,150.276,0.0589468,146.026,3.51602,0.401474,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
