count,tension_left,ms_left,ms_left_model,ms_speed_left,ms_speed_left_model,pressure_left,g_pressure_1,tension_right,ms_right,ms_right_model,ms_speed_right,ms_speed_right_model,natural_length_right_model,deformation_right_model,natural_length_left_model,deformation_left_model,pressure_right,g_pressure_2,start of cycle,angle,m5_Ia_+,m5_Ia_model_+,m5_Ia_-,m5_Ia_model_-,m5_Ib_-,m5_Ib_+,m7_Ia_+,m7_Ia_model_+,m7_Ia_-,m7_Ia_model_-,m7_Ib_-,m7_Ib_+,4.00348,2.89537,170.186,178.853,33515,18125,77.2119
660,-302,-0.116172,150.098,8.11778,12.433,0.397736,0.4,10,-0.163833,150.225,-0.215587,2.05529,150.185,0.0393026,146.196,3.90205,0.402771,0.4,1,-34,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
661,-331,-0.0774482,150.225,7.23876,21.3884,0.400711,0.4,21,-0.157875,150.107,-0.250428,1.12514,150.024,0.0824898,146.017,4.20747,0.40506,0.4,1,-35,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
662,-362,0.0208514,149.3,6.20195,27.2045,0.420013,0.4,28,-0.163833,150.762,-0.177174,-0.675069,150.652,0.110014,144.857,4.44273,0.396133,0.4,1,-36,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
663,-395,-0.0565968,151.462,5.15895,25.2299,0.392242,0.4,26,-0.16979,150.362,-0.179048,4.07753,150.26,0.10213,146.526,4.93565,0.401703,0.4,1,-37,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
664,-427,-0.0387241,150.565,3.07543,34.4234,0.410934,0.4,20,-0.16979,150.205,-0.251487,2.90863,150.126,0.0785712,145.403,5.16265,0.40361,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
665,-459,-0.0625543,150.747,0.946255,32.6178,0.413071,0.4,17,-0.16979,150.622,-0.253543,-0.370346,150.555,0.0668162,145.274,5.47206,0.397507,0.4,1,-38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
666,-491,-0.104257,152.3,-0.665156,29.8537,0.394302,0.4,18,-0.172769,150.406,-0.205891,1.45059,150.335,0.0707314,146.402,5.89759,0.400635,0.4,1,-39,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
667,-525,-0.154896,151.234,-2.20776,35.4717,0.415436,0.4,15,-0.175748,150.287,-0.190496,0.912326,150.228,0.0589445,145.132,6.10136,0.402161,0.4,1,-39,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
668,-558,-0.262132,152.238,-3.92838,31.0264,0.404984,0.4,8,-0.175748,150.522,-0.19267,-1.01818,150.491,0.031452,145.76,6.47767,0.398422,0.4,1,-39,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
669,-584,-0.297878,152.902,-5.59917,31.5972,0.398651,0.4,3,-0.175748,150.412,-0.16159,0.0797726,150.4,0.0117961,146.141,6.7605,0.399719,0.4,1,-39,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
